,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
1297,2018,80590,I 2012 – н.в. ,фургон,чёрный,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Largus ,,1.6 LTR ,106, Бензин,5,674000,0
1298,2013,138434,I 2009 – 2014 ,хэтчбек 5 дв.,красный,автоматическая,передний,Левый,3 или более,Оригинал,Renault ,Sandero ,,1.6 LTR ,103, Бензин,5,497000,0
1299,2014,148000,I Рестайлинг 2009 – 2020 ,внедорожник 5 дв.,серый,механическая,полный,Левый,2 владельца,Оригинал,Chevrolet ,Niva ,3 года и 3 месяца,1.7 LTR ,80, Бензин,5,369000,0
1300,2011,174000,V 2009 – 2015 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,3 или более,Оригинал,Volkswagen ,Polo ,,1.4 LTR ,85, Бензин,5,449000,0
1301,2018,48525,IV 2015 – 2018 ,седан,коричневый,автоматическая,передний,Левый,3 или более,Оригинал,Kia ,Optima ,,2.0 LTR ,150, Бензин,4,1539875,0
1302,2017,48489,II 2016 – н.в. ,седан,чёрный,механическая,передний,Левый,2 владельца,Оригинал,Lifan ,Solano ,,1.5 LTR ,100, Бензин,4,559000,0
1303,2016,100000,II 2010 – 2016 ,седан,серый,автоматическая,передний,Левый,3 или более,Оригинал,Citroen ,C4 ,,1.6 LTR ,120, Бензин,4,589900,0
1304,2011,221000,IV (C7) 2011 – 2014 ,седан,серый,вариатор,передний,Левый,2 владельца,Оригинал,Audi ,A6 ,,2.0 LTR ,180, Бензин,4,935000,0
1305,2020,21186,IV Рестайлинг 2018 – н.в. ,внедорожник 5 дв.,оранжевый,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sportage ,,2.0 LTR ,150, Бензин,5,2047000,0
1306,2018,63486,I 2015 – 2019 ,седан,синий,автоматическая,полный,Левый,1 владелец,Оригинал,Jaguar ,XE ,,2.0 LTR ,180, Дизель,4,2200000,0
1307,2013,121600,2010 – 2017 ,внедорожник 5 дв.,серый,механическая,полный,Левый,1 владелец,Оригинал,Great Wall ,Hover H5 ,,2.0 LTR ,143, Дизель,5,540000,0
